IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Location,X,Y
3027732,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Friday,3/7/03,16:34,CENTRAL,"ARREST, BOOKED",200 Block of GEARY ST,-122.407810337041,37.7873789357712
3032800,ASSAULT,BATTERY,Thursday,4/10/03,10:16,PARK,"ARREST, BOOKED",300 Block of WOODSIDE AV,-122.452192036764,37.7456678660441
3059315,WARRANTS,WARRANT ARREST,Tuesday,5/20/03,7:45,,"ARREST, BOOKED",OUT OF TOWN,0.000000000000,0.0000000000000
3070690,NON-CRIMINAL,FOUND PROPERTY,Wednesday,6/11/03,14:25,BAYVIEW,NONE,1600 Block of PALOU AV,-122.392096198043,37.7346106238966
10013576,WARRANTS,WARRANT ARREST,Wednesday,3/5/03,7:50,TARAVAL,"ARREST, BOOKED",0 Block of BORICA ST,-122.468567046618,37.7218120474233
10050142,WARRANTS,WARRANT ARREST,Friday,5/9/03,19:45,TENDERLOIN,"ARREST, BOOKED",0 Block of MCALLISTER ST,-122.413430143292,37.7809244840289
10085149,WARRANTS,WARRANT ARREST,Saturday,1/11/03,23:55,TENDERLOIN,"ARREST, BOOKED",MARKET ST / 8TH ST,-122.414743835390,37.7787192627661
10168585,WARRANTS,WARRANT ARREST,Thursday,2/27/03,19:26,TENDERLOIN,"ARREST, BOOKED",300 Block of ELLIS ST,-122.411985603895,37.7850007126251
10284802,WARRANTS,WARRANT ARREST,Tuesday,4/1/03,20:12,TENDERLOIN,"ARREST, BOOKED",500 Block of EDDY ST,-122.415916307497,37.7835460531365
10347892,WARRANTS,WARRANT ARREST,Tuesday,1/7/03,8:45,INGLESIDE,"ARREST, BOOKED",300 Block of EDINBURGH ST,-122.430150533574,37.7237516945755
30204078,LARCENY/THEFT,PETTY THEFT AUTO STRIP,Monday,2/17/03,15:00,RICHMOND,NONE,SPRUCE ST / ANZA ST,-122.452898067361,37.7803623690592
10413114,WARRANTS,WARRANT ARREST,Tuesday,4/1/03,23:21,CENTRAL,"ARREST, BOOKED",600 Block of PACIFIC AV,-122.406292154396,37.7969378530276
10434104,WARRANTS,WARRANT ARREST,Thursday,3/13/03,4:54,TENDERLOIN,"ARREST, BOOKED",LARKIN ST / GOLDEN GATE AV,-122.417146843843,37.7814463501111
10480260,WARRANTS,WARRANT ARREST,Saturday,3/15/03,3:50,,"ARREST, BOOKED",UNKNOWN,0.000000000000,0.0000000000000
10497538,VEHICLE THEFT,STOLEN MOTORCYCLE,Thursday,4/3/03,20:20,,NONE,OUT OF TOWN,0.000000000000,0.0000000000000
10497538,VEHICLE THEFT,"VEHICLE, RECOVERED, MOTORCYCLE",Thursday,4/3/03,20:20,,NONE,OUT OF TOWN,0.000000000000,0.0000000000000
10505147,WARRANTS,WARRANT ARREST,Thursday,1/30/03,7:15,TENDERLOIN,"ARREST, BOOKED",0 Block of TURK ST,-122.410120385828,37.7832742526736
10541113,WARRANTS,WARRANT ARREST,Wednesday,4/16/03,0:55,TENDERLOIN,"ARREST, BOOKED",TURK ST / TAYLOR ST,-122.410768766350,37.7832145189783
20910188,WARRANTS,WARRANT ARREST,Monday,1/27/03,11:15,SOUTHERN,"ARREST, BOOKED",800 Block of BRYANT ST,-122.403675174069,37.7751775072045
20941923,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Thursday,2/6/03,12:00,RICHMOND,NONE,4100 Block of GEARY BL,-122.463649337975,37.7810158001278
20957174,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Monday,3/31/03,13:51,PARK,NONE,400 Block of STANYAN ST,-122.454416646218,37.7738144424117
20959750,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Wednesday,2/26/03,7:09,BAYVIEW,NONE,2200 Block of NEWCOMB AV,-122.401128911522,37.7416238982259
20993548,NON-CRIMINAL,LOCATED PROPERTY,Tuesday,4/8/03,12:00,,NONE,UNKNOWN,0.000000000000,0.0000000000000
20996025,VEHICLE THEFT,STOLEN MOTORCYCLE,Monday,1/6/03,8:13,TARAVAL,"ARREST, CITED",JUNIPERO SERRA BL / HOLLOWAY AV,-122.472321912644,37.7216221726592
20996025,VEHICLE THEFT,"VEHICLE, RECOVERED, MOTORCYCLE",Monday,1/6/03,8:13,TARAVAL,"ARREST, CITED",JUNIPERO SERRA BL / HOLLOWAY AV,-122.472321912644,37.7216221726592
20996025,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Monday,1/6/03,8:13,TARAVAL,"ARREST, CITED",JUNIPERO SERRA BL / HOLLOWAY AV,-122.472321912644,37.7216221726592
30204084,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Tuesday,2/18/03,17:41,NORTHERN,"ARREST, BOOKED",800 Block of GOUGH ST,-122.423875745902,37.7815322022236
21029708,VEHICLE THEFT,"VEHICLE, RECOVERED, AUTO",Tuesday,4/1/03,10:54,,NONE,OUT OF TOWN,0.000000000000,0.0000000000000
21040942,NON-CRIMINAL,LOCATED PROPERTY,Thursday,2/13/03,23:09,,NONE,OUT OF TOWN,0.000000000000,0.0000000000000
21055894,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Wednesday,4/16/03,0:49,TENDERLOIN,NONE,0 Block of UNITED NATIONS PZ,-122.414283516807,37.7798026426118
21059573,VEHICLE THEFT,"VEHICLE, RECOVERED, MOTORCYCLE",Saturday,3/1/03,17:59,,NONE,OUT OF TOWN,0.000000000000,0.0000000000000
21065542,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Wednesday,2/19/03,11:35,RICHMOND,NONE,2600 Block of PACIFIC AV,-122.439031526151,37.7928346441970
21095721,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Wednesday,5/7/03,13:33,,NONE,OUT OF TOWN,0.000000000000,0.0000000000000
11230084,VEHICLE THEFT,STOLEN TRUCK,Tuesday,2/25/03,11:00,,NONE,UNKNOWN,0.000000000000,0.0000000000000
11230084,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Tuesday,2/25/03,11:00,,NONE,UNKNOWN,0.000000000000,0.0000000000000
11266697,WARRANTS,WARRANT ARREST,Sunday,6/15/03,15:38,MISSION,"ARREST, BOOKED",100 Block of CAPP ST,-122.418604176170,37.7645406474689
21345708,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Tuesday,3/11/03,5:02,,NONE,OUT OF TOWN,0.000000000000,0.0000000000000
21347419,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Wednesday,1/1/03,12:36,INGLESIDE,NONE,100 Block of ELSIE ST,-122.417482152738,37.7432053428649
30204090,BURGLARY,"BURGLARY OF STORE, UNLAWFUL ENTRY",Tuesday,2/18/03,17:45,PARK,"ARREST, BOOKED",2600 Block of GEARY BL,-122.447204008446,37.7823643146491
21526390,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Tuesday,1/7/03,14:00,SOUTHERN,NONE,100 Block of CLARA ST,-122.400213058516,37.7812197577350
30204090,LARCENY/THEFT,PETTY THEFT WITH PRIOR,Tuesday,2/18/03,17:45,PARK,"ARREST, BOOKED",2600 Block of GEARY BL,-122.447204008446,37.7823643146491
30204103,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,2/18/03,18:26,BAYVIEW,"ARREST, CITED",16TH ST / 7TH ST,-122.395062849871,37.7665443562126
30204119,NON-CRIMINAL,LOST PROPERTY,Tuesday,2/18/03,16:00,SOUTHERN,NONE,800 Block of BRYANT ST,-122.403742963163,37.7752317022311
21534939,WEAPON LAWS,POSS OF LOADED FIREARM,Saturday,5/10/03,8:18,,NONE,NO ADDRESS ENTERED,0.000000000000,0.0000000000000
21534939,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Saturday,5/10/03,8:18,,NONE,NO ADDRESS ENTERED,0.000000000000,0.0000000000000
30204131,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Tuesday,2/18/03,18:32,TENDERLOIN,"ARREST, BOOKED",0 Block of JONES ST,-122.412121608458,37.7813786406361
21536292,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Sunday,1/5/03,11:31,INGLESIDE,NONE,0 Block of GARRISON AV,-122.412928651741,37.7108440493915
30206068,NON-CRIMINAL,LOST PROPERTY,Wednesday,2/19/03,1:00,SOUTHERN,NONE,1300 Block of FOLSOM ST,-122.412227135355,37.7732376715687
30206074,FRAUD,"FALSE PRETENSES, GRAND THEFT",Monday,2/17/03,9:00,CENTRAL,NONE,300 Block of COLUMBUS AV,-122.407669499424,37.7985117160826
21363120,VEHICLE THEFT,"VEHICLE, RECOVERED, MOTORCYCLE",Tuesday,1/28/03,9:30,CENTRAL,NONE,1400 Block of LEAVENWORTH ST,-122.416396849194,37.7941810635756
21369190,VEHICLE THEFT,"VEHICLE, RECOVERED, OTHER VEHICLE",Monday,6/16/03,3:30,,NONE,OUT OF TOWN,0.000000000000,0.0000000000000
30206115,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,2/18/03,18:45,MISSION,NONE,14TH ST / GUERRERO ST,-122.424412715072,37.7680054163869
30206159,ASSAULT,BATTERY OF A POLICE OFFICER,Wednesday,2/19/03,9:30,SOUTHERN,"ARREST, BOOKED",400 Block of NATOMA ST,-122.406684771010,37.7810106825623
30206159,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Wednesday,2/19/03,9:30,SOUTHERN,"ARREST, BOOKED",400 Block of NATOMA ST,-122.406684771010,37.7810106825623
30206165,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Tuesday,2/18/03,17:30,NORTHERN,NONE,OCTAVIA ST / OAK ST,-122.424246473478,37.7748122523492
30206171,TRESPASS,TRESPASSING,Wednesday,2/19/03,8:08,SOUTHERN,NONE,500 Block of MARKET ST,-122.399860692395,37.7905089709634
30206187,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Wednesday,2/19/03,6:00,BAYVIEW,NONE,600 Block of SILLIMAN ST,-122.411042446829,37.7297148186521
30204131,DRUG/NARCOTIC,SALE OF MARIJUANA,Tuesday,2/18/03,18:32,TENDERLOIN,"ARREST, BOOKED",0 Block of JONES ST,-122.412121608458,37.7813786406361
30204153,MISSING PERSON,MISSING JUVENILE,Tuesday,2/18/03,7:00,INGLESIDE,NONE,600 Block of PRENTISS ST,-122.412471875496,37.7348960836964
21370216,VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI",Monday,1/13/03,23:44,TARAVAL,JUVENILE BOOKED,3900 Block of 19TH AV,-122.472529445752,37.7171858507749
21370238,FORGERY/COUNTERFEITING,"CHECKS, FORGERY (FELONY)",Thursday,1/2/03,13:00,,NONE,OUT OF TOWN,0.000000000000,0.0000000000000
30204153,MISSING PERSON,FOUND PERSON,Tuesday,2/18/03,7:00,INGLESIDE,NONE,600 Block of PRENTISS ST,-122.412471875496,37.7348960836964
30204181,ASSAULT,BATTERY,Tuesday,2/18/03,18:15,CENTRAL,"ARREST, BOOKED",300 Block of COLUMBUS AV,-122.407069627873,37.7981847618287
30204238,OTHER OFFENSES,OBSCENE PHONE CALLS(S),Tuesday,2/18/03,18:59,PARK,NONE,800 Block of CENTRAL AV,-122.445006858202,37.7773636900240
